ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
286801885,2025-10-09 16:16:28+05:30,,2025-10-09 16:16:28+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286786834,0,4,0.05,0.0,4032.55,0.0,0.0,4032.55,0.0,XAUUSD.s,[sl 4032.55],
286803029,2025-10-09 16:20:07+05:30,,2025-10-09 16:20:07+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286803029,0,3,0.59,0.0,0.0,25149.91,25111.99,25137.27,0.0,NAS100.s,Pivot,
286803038,2025-10-09 16:20:09+05:30,,2025-10-09 16:20:09+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286803038,0,3,0.59,0.0,0.0,25149.66,25111.74,25137.02,0.0,NAS100.s,FibPivot,
286803353,2025-10-09 16:21:11+05:30,,2025-10-09 16:21:11+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286803353,0,3,0.05,0.0,0.0,4036.0,4019.38,4030.46,0.0,XAUUSD.s,Pivot,
286803356,2025-10-09 16:21:13+05:30,,2025-10-09 16:21:13+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286803356,0,3,0.05,0.0,0.0,4035.95,4019.33,4030.42,0.0,XAUUSD.s,FibPivot,
286809730,2025-10-09 16:41:00+05:30,,2025-10-09 16:41:00+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286789055,0,4,0.05,0.0,49.164,0.0,0.0,49.164,0.0,XAGUSD.s,[sl 49.164],
286809731,2025-10-09 16:41:00+05:30,,2025-10-09 16:41:00+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286789062,0,4,0.05,0.0,49.164,0.0,0.0,49.164,0.0,XAGUSD.s,[sl 49.164],
286810044,2025-10-09 16:42:25+05:30,,2025-10-09 16:42:25+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286796826,0,4,0.44,0.0,25128.58,0.0,0.0,25128.58,0.0,NAS100.s,[sl 25128.58],
286810155,2025-10-09 16:42:41+05:30,,2025-10-09 16:42:41+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286810155,0,3,0.55,0.0,0.0,25118.25,25158.36,25131.62,0.0,NAS100.s,Scalper,
286810776,2025-10-09 16:43:37+05:30,,2025-10-09 16:43:37+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286803353,0,4,0.05,0.0,4034.92,0.0,0.0,4034.92,0.0,XAUUSD.s,[sl 4034.92],
